request_id,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms
5bf79a58-09f0-4ae3-9a55-7de2a184ca65,8582.37,8669,512,88,86.44
14eb7265-b3eb-414f-8c7d-7bc15886ba7f,8295.97,8296,512,88,
4c373a36-649d-4358-8d83-d555f07e5670,8291.64,8292,512,88,
24d8f2a1-c0f5-42e0-a46d-1a79d8460b87,8313.36,8314,512,88,
2cbcbc1b-9de7-4edc-a143-2137e4ee2ee4,8416.05,8417,512,88,
32b9616c-3083-4579-9138-bdb72a270249,8336.17,8337,512,88,
f0c7f499-68e0-4ad6-98be-cbf59d7d9764,8374.58,8375,512,88,
b456a588-8f91-487c-8b9c-016da4afa97f,8314.27,8315,512,88,
de0abef3-2b83-4e1f-b70a-0c1b644cb3a9,8315.95,8316,512,88,
f8f97821-11e5-4b5d-a6f7-8dce62dcff00,8297.14,8298,512,88,
67f09170-78ee-442f-b293-62ea794dbcf6,8277.45,8278,512,88,
a88ae376-bb15-4114-8b92-c7aecc43eeda,8298.96,8299,512,88,
8426a566-53d4-42b2-ba21-00b8419e302b,8348.55,8349,512,88,
b4637607-66bf-488b-bd7e-d421faa8d86a,8300.66,8301,512,88,
e02b26bd-7a9b-40f4-995b-2c633a73cdf0,8326.65,8327,512,89,
ccae81aa-a61c-4ae5-9da4-f27094a02e6b,796.28,797,512,46,
c6fa5bba-0f2d-4657-979f-36ffb8cc1198,990.11,1051,512,44,60.83
6fa8020f-7f00-4532-a5b4-c288acca6bfb,793.49,794,512,47,
4e8406ed-9c4c-4146-8099-85dd5ba84458,766.91,767,512,47,
6a7fe9a3-dfdc-42a9-a21e-6184c5f0bce7,791.34,792,512,47,
5b2a51b9-cad0-42ae-b2e1-dfd1795f79ba,796.37,797,512,47,
61cb1aae-a6d0-42af-92b3-d963a2f564ad,781.93,782,512,47,
e533af19-9a48-4756-ab91-12d66da321a5,761.53,762,512,47,
c8c68313-1f85-47c2-8426-16d41c513971,783.69,784,512,47,
1ee1b8b9-ad65-4249-bfbe-a44845f00735,772.83,773,512,47,
b137ae62-4d84-458c-b3c8-74db7d517731,789.66,790,512,47,
974cbe5a-9445-4c80-800f-6ec7532d2918,776.57,777,512,47,
e568411f-fa7b-4a5e-8835-48ae3d842391,788.76,789,512,47,
0f703a09-2eaf-4064-88eb-25c490a8e44a,776.25,777,512,47,
75debdf0-4fe4-40b8-8edf-8b639b6f0b54,753.8,754,512,47,
